date,open,high,low,close,adjusted,volume
2012-03-14,1230000 ,1255000 ,1230000 ,1250000 ,1250000 ,367328 
2012-03-15,1251000 ,1260000 ,1242000 ,1250000 ,1250000 ,281014 
2012-03-16,1260000 ,1267000 ,1238000 ,1238000 ,1238000 ,361632 
2012-03-19,1235000 ,1268000 ,1234000 ,1260000 ,1260000 ,237833 
2012-03-20,1267000 ,1277000 ,1260000 ,1267000 ,1267000 ,238807 
2012-03-21,1260000 ,1260000 ,1242000 ,1242000 ,1242000 ,258654 
2012-03-22,1235000 ,1263000 ,1235000 ,1258000 ,1258000 ,253830 
2012-03-23,1243000 ,1274000 ,1243000 ,1261000 ,1261000 ,217307 
2012-03-26,1268000 ,1275000 ,1261000 ,1275000 ,1275000 ,184819 
2012-03-27,1285000 ,1311000 ,1276000 ,1311000 ,1311000 ,283880 
2012-03-28,1300000 ,1308000 ,1295000 ,1302000 ,1302000 ,198516 
2012-03-29,1299000 ,1299000 ,1280000 ,1280000 ,1280000 ,233777 
2012-03-30,1270000 ,1280000 ,1257000 ,1275000 ,1275000 ,305967 
2012-04-02,1275000 ,1299000 ,1261000 ,1299000 ,1299000 ,251937 
2012-04-03,1320000 ,1339000 ,1302000 ,1335000 ,1335000 ,330512 
2012-04-04,1331000 ,1351000 ,1315000 ,1320000 ,1320000 ,292224 
2012-04-05,1302000 ,1335000 ,1297000 ,1330000 ,1330000 ,258692 
2012-04-06,1327000 ,1334000 ,1313000 ,1332000 ,1332000 ,205972 
2012-04-09,1320000 ,1330000 ,1306000 ,1317000 ,1317000 ,172210 
2012-04-10,1314000 ,1320000 ,1307000 ,1311000 ,1311000 ,223655 
2012-04-11,1314000 ,1320000 ,1307000 ,1311000 ,1311000 ,223655 
2012-04-12,1283000 ,1299000 ,1268000 ,1273000 ,1273000 ,505706 
2012-04-13,1265000 ,1277000 ,1260000 ,1268000 ,1268000 ,709175 
2012-04-16,1273000 ,1276000 ,1250000 ,1259000 ,1259000 ,305181 
2012-04-17,1251000 ,1264000 ,1241000 ,1249000 ,1249000 ,291687 
2012-04-18,1277000 ,1302000 ,1269000 ,1293000 ,1293000 ,345320 
2012-04-19,1292000 ,1307000 ,1289000 ,1307000 ,1307000 ,263389 
2012-04-20,1294000 ,1297000 ,1278000 ,1282000 ,1282000 ,198642 
2012-04-23,1269000 ,1280000 ,1262000 ,1279000 ,1279000 ,168229 
2012-04-24,1265000 ,1286000 ,1262000 ,1283000 ,1283000 ,265092 
2012-04-25,1304000 ,1315000 ,1293000 ,1305000 ,1305000 ,276830 
2012-04-26,1320000 ,1340000 ,1317000 ,1340000 ,1340000 ,330125 
2012-04-27,1355000 ,1383000 ,1351000 ,1374000 ,1374000 ,318334 
2012-04-30,1395000 ,1409000 ,1377000 ,1390000 ,1390000 ,315924 
2012-05-01,1395000 ,1409000 ,1377000 ,1390000 ,1390000 ,315924 
2012-05-02,1410000 ,1418000 ,1399000 ,1410000 ,1410000 ,368585 
2012-05-03,1402000 ,1410000 ,1398000 ,1401000 ,1401000 ,206721 
2012-05-04,1375000 ,1398000 ,1349000 ,1360000 ,1360000 ,410013 
2012-05-07,1342000 ,1353000 ,1325000 ,1342000 ,1342000 ,378463 
2012-05-08,1348000 ,1352000 ,1339000 ,1341000 ,1341000 ,241223 
2012-05-09,1335000 ,1348000 ,1324000 ,1331000 ,1331000 ,253520 
2012-05-10,1329000 ,1336000 ,1322000 ,1327000 ,1327000 ,263434 
2012-05-11,1315000 ,1323000 ,1303000 ,1303000 ,1303000 ,273746 
2012-05-14,1305000 ,1327000 ,1304000 ,1314000 ,1314000 ,302375 
2012-05-15,1304000 ,1320000 ,1300000 ,1311000 ,1311000 ,312381 
2012-05-16,1298000 ,1300000 ,1228000 ,1230000 ,1230000 ,772389 
2012-05-17,1230000 ,1243000 ,1201000 ,1223000 ,1223000 ,663431 
2012-05-18,1204000 ,1205000 ,1165000 ,1166000 ,1166000 ,602891 
2012-05-21,1194000 ,1216000 ,1190000 ,1209000 ,1209000 ,475248 
2012-05-22,1255000 ,1255000 ,1227000 ,1240000 ,1240000 ,476938 
2012-05-23,1240000 ,1240000 ,1195000 ,1221000 ,1221000 ,323898 
2012-05-24,1213000 ,1225000 ,1198000 ,1225000 ,1225000 ,305365 
2012-05-25,1233000 ,1246000 ,1223000 ,1225000 ,1225000 ,203783 
2012-05-28,1233000 ,1246000 ,1223000 ,1225000 ,1225000 ,203783 
2012-05-29,1212000 ,1238000 ,1206000 ,1238000 ,1238000 ,216876 
2012-05-30,1238000 ,1240000 ,1215000 ,1226000 ,1226000 ,254380 
2012-05-31,1213000 ,1213000 ,1192000 ,1211000 ,1211000 ,442818 
2012-06-01,1213000 ,1237000 ,1199000 ,1233000 ,1233000 ,272252 
2012-06-04,1198000 ,1205000 ,1192000 ,1196000 ,1196000 ,361840 
2012-06-05,1201000 ,1209000 ,1193000 ,1203000 ,1203000 ,257449 
2012-06-06,1201000 ,1209000 ,1193000 ,1203000 ,1203000 ,257449 
2012-06-07,1239000 ,1265000 ,1233000 ,1265000 ,1265000 ,419412 
2012-06-08,1275000 ,1275000 ,1245000 ,1247000 ,1247000 ,199521 
2012-06-11,1272000 ,1275000 ,1266000 ,1268000 ,1268000 ,198491 
2012-06-12,1246000 ,1260000 ,1245000 ,1255000 ,1255000 ,176329 
2012-06-13,1266000 ,1274000 ,1256000 ,1271000 ,1271000 ,191611 
2012-06-14,1269000 ,1271000 ,1256000 ,1261000 ,1261000 ,441585 
2012-06-15,1250000 ,1260000 ,1214000 ,1217000 ,1217000 ,609612 
2012-06-18,1240000 ,1257000 ,1234000 ,1243000 ,1243000 ,352506 
2012-06-19,1245000 ,1247000 ,1222000 ,1244000 ,1244000 ,297169 
2012-06-20,1249000 ,1265000 ,1245000 ,1252000 ,1252000 ,265743 
2012-06-21,1234000 ,1242000 ,1226000 ,1227000 ,1227000 ,255553 
2012-06-22,1189000 ,1202000 ,1180000 ,1182000 ,1182000 ,626943 
2012-06-25,1171000 ,1178000 ,1128000 ,1132000 ,1132000 ,828723 
2012-06-26,1133000 ,1149000 ,1129000 ,1139000 ,1139000 ,506211 
2012-06-27,1140000 ,1177000 ,1130000 ,1167000 ,1167000 ,471673 
2012-06-28,1167000 ,1180000 ,1153000 ,1168000 ,1168000 ,208420 
2012-06-29,1167000 ,1201000 ,1153000 ,1201000 ,1201000 ,373478 
2012-07-02,1208000 ,1209000 ,1171000 ,1174000 ,1174000 ,383135 
2012-07-03,1182000 ,1193000 ,1170000 ,1175000 ,1175000 ,316380 
2012-07-04,1182000 ,1197000 ,1178000 ,1191000 ,1191000 ,383678 
2012-07-05,1187000 ,1194000 ,1177000 ,1185000 ,1185000 ,181784 
