Date,Open,High,Low,Close,Volume,Adjusted
2014-03-04,1320000 ,1329000 ,1315000 ,1315000 ,158003 ,1315000 
2014-03-05,1335000 ,1341000 ,1330000 ,1330000 ,149830 ,1330000 
2014-03-06,1329000 ,1329000 ,1310000 ,1326000 ,172335 ,1326000 
2014-03-07,1339000 ,1339000 ,1329000 ,1339000 ,150973 ,1339000 
2014-03-10,1320000 ,1330000 ,1317000 ,1320000 ,173152 ,1320000 
2014-03-11,1320000 ,1327000 ,1309000 ,1322000 ,181596 ,1322000 
2014-03-12,1320000 ,1320000 ,1293000 ,1294000 ,251585 ,1294000 
2014-03-13,1294000 ,1313000 ,1290000 ,1290000 ,235004 ,1290000 
2014-03-14,1270000 ,1285000 ,1270000 ,1275000 ,216736 ,1275000 
2014-03-17,1275000 ,1276000 ,1258000 ,1266000 ,176400 ,1266000 
2014-03-18,1270000 ,1283000 ,1266000 ,1278000 ,220912 ,1278000 
2014-03-19,1280000 ,1285000 ,1268000 ,1269000 ,152771 ,1269000 
2014-03-20,1270000 ,1272000 ,1262000 ,1262000 ,118788 ,1262000 
2014-03-21,1269000 ,1273000 ,1262000 ,1273000 ,166426 ,1273000 
2014-03-24,1260000 ,1274000 ,1259000 ,1273000 ,141478 ,1273000 
2014-03-25,1269000 ,1270000 ,1241000 ,1247000 ,272500 ,1247000 
2014-03-26,1269000 ,1290000 ,1248000 ,1285000 ,348894 ,1285000 
2014-03-27,1290000 ,1333000 ,1285000 ,1333000 ,417557 ,1333000 
2014-03-28,1320000 ,1338000 ,1320000 ,1335000 ,212974 ,1335000 
2014-03-31,1345000 ,1345000 ,1322000 ,1343000 ,265197 ,1343000 
2014-04-01,1345000 ,1345000 ,1331000 ,1339000 ,221620 ,1339000 
2014-04-02,1350000 ,1357000 ,1343000 ,1357000 ,262001 ,1357000 
2014-04-03,1351000 ,1395000 ,1351000 ,1390000 ,381976 ,1390000 
2014-04-04,1377000 ,1397000 ,1377000 ,1380000 ,368007 ,1380000 
2014-04-07,1397000 ,1397000 ,1374000 ,1397000 ,215235 ,1397000 
2014-04-08,1387000 ,1399000 ,1375000 ,1394000 ,212164 ,1394000 
2014-04-09,1394000 ,1395000 ,1364000 ,1371000 ,321232 ,1371000 
2014-04-10,1369000 ,1380000 ,1360000 ,1380000 ,199984 ,1380000 
2014-04-11,1362000 ,1368000 ,1359000 ,1365000 ,213187 ,1365000 
2014-04-14,1365000 ,1386000 ,1365000 ,1370000 ,211720 ,1370000 
2014-04-15,1386000 ,1387000 ,1369000 ,1370000 ,219396 ,1370000 
2014-04-16,1370000 ,1392000 ,1363000 ,1380000 ,186171 ,1380000 
2014-04-17,1376000 ,1380000 ,1366000 ,1370000 ,144833 ,1370000 
2014-04-18,1370000 ,1379000 ,1370000 ,1378000 ,190367 ,1378000 
2014-04-21,1379000 ,1386000 ,1375000 ,1380000 ,65985 ,1380000 
2014-04-22,1374000 ,1384000 ,1371000 ,1375000 ,121686 ,1375000 
2014-04-23,1394000 ,1395000 ,1382000 ,1389000 ,190015 ,1389000 
2014-04-24,1409000 ,1409000 ,1399000 ,1407000 ,210924 ,1407000 
2014-04-25,1420000 ,1428000 ,1398000 ,1399000 ,305396 ,1399000 
2014-04-28,1404000 ,1406000 ,1382000 ,1388000 ,188629 ,1388000 
2014-04-29,1389000 ,1395000 ,1351000 ,1360000 ,218184 ,1360000 
2014-04-30,1380000 ,1381000 ,1326000 ,1343000 ,300946 ,1343000 
2014-05-01,1380000 ,1381000 ,1326000 ,1343000 ,300946 ,1343000 
2014-05-02,1354000 ,1359000 ,1344000 ,1346000 ,298867 ,1346000 
2014-05-05,1354000 ,1359000 ,1344000 ,1346000 ,298867 ,1346000 
2014-05-06,1354000 ,1359000 ,1344000 ,1346000 ,298867 ,1346000 
2014-05-07,1350000 ,1356000 ,1340000 ,1344000 ,283794 ,1344000 
2014-05-08,1355000 ,1355000 ,1344000 ,1350000 ,325638 ,1350000 
2014-05-09,1356000 ,1358000 ,1326000 ,1335000 ,263141 ,1335000 
2014-05-12,1336000 ,1395000 ,1332000 ,1388000 ,318896 ,1388000 
2014-05-13,1388000 ,1425000 ,1388000 ,1400000 ,242148 ,1400000 
2014-05-14,1409000 ,1415000 ,1401000 ,1415000 ,222075 ,1415000 
2014-05-15,1414000 ,1419000 ,1403000 ,1410000 ,136134 ,1410000 
2014-05-16,1400000 ,1437000 ,1399000 ,1428000 ,317130 ,1428000 
2014-05-19,1428000 ,1450000 ,1408000 ,1448000 ,385621 ,1448000 
2014-05-20,1445000 ,1454000 ,1435000 ,1451000 ,320146 ,1451000 
2014-05-21,1435000 ,1450000 ,1435000 ,1441000 ,216850 ,1441000 
2014-05-22,1441000 ,1448000 ,1426000 ,1426000 ,190800 ,1426000 
2014-05-23,1405000 ,1428000 ,1405000 ,1428000 ,170233 ,1428000 
2014-05-26,1420000 ,1432000 ,1415000 ,1422000 ,74712 ,1422000 
2014-05-27,1417000 ,1423000 ,1403000 ,1407000 ,94968 ,1407000 
2014-05-28,1419000 ,1435000 ,1409000 ,1433000 ,184019 ,1433000 
2014-05-29,1450000 ,1465000 ,1440000 ,1460000 ,250430 ,1460000 
2014-05-30,1470000 ,1482000 ,1443000 ,1443000 ,316621 ,1443000 
2014-06-02,1443000 ,1458000 ,1439000 ,1455000 ,148789 ,1455000 
2014-06-03,1484000 ,1495000 ,1465000 ,1470000 ,344685 ,1470000 
2014-06-04,1484000 ,1495000 ,1465000 ,1470000 ,344685 ,1470000 
2014-06-05,1466000 ,1480000 ,1450000 ,1457000 ,270141 ,1457000 
2014-06-06,1466000 ,1480000 ,1450000 ,1457000 ,270141 ,1457000 
2014-06-09,1470000 ,1473000 ,1402000 ,1409000 ,445392 ,1409000 
2014-06-10,1421000 ,1438000 ,1405000 ,1436000 ,184282 ,1436000 
2014-06-11,1412000 ,1430000 ,1412000 ,1422000 ,172515 ,1422000 
2014-06-12,1430000 ,1430000 ,1401000 ,1413000 ,258863 ,1413000 
2014-06-13,1402000 ,1404000 ,1363000 ,1367000 ,371781 ,1367000 
2014-06-16,1380000 ,1382000 ,1362000 ,1374000 ,306399 ,1374000 
2014-06-17,1360000 ,1378000 ,1351000 ,1374000 ,269535 ,1374000 
2014-06-18,1373000 ,1376000 ,1356000 ,1358000 ,220887 ,1358000 
2014-06-19,1345000 ,1349000 ,1320000 ,1323000 ,446794 ,1323000 
2014-06-20,1330000 ,1330000 ,1296000 ,1301000 ,478053 ,1301000 
2014-06-23,1321000 ,1332000 ,1316000 ,1322000 ,249765 ,1322000 
2014-06-24,1340000 ,1354000 ,1332000 ,1345000 ,237817 ,1345000 
2014-06-25,1330000 ,1333000 ,1318000 ,1320000 ,204638 ,1320000 
2014-06-26,1309000 ,1343000 ,1307000 ,1325000 ,255306 ,1325000 
2014-06-27,1307000 ,1319000 ,1306000 ,1311000 ,179061 ,1311000 
2014-06-30,1310000 ,1324000 ,1309000 ,1322000 ,177621 ,1322000 
2014-07-01,1308000 ,1314000 ,1301000 ,1310000 ,174508 ,1310000 
2014-07-02,1317000 ,1331000 ,1306000 ,1330000 ,222785 ,1330000 
